"id","index","lon","lat"
1,76805,-31,34.5
2,76806,-30.75,34.5
3,76807,-30.5,34.5
4,76808,-30.25,34.5
5,76809,-30,34.5
6,76810,-29.75,34.5
7,76811,-29.5,34.5
8,76812,-29.25,34.5
9,76813,-29,34.5
10,76814,-28.75,34.5
11,76815,-28.5,34.5
12,76816,-28.25,34.5
13,76817,-28,34.5
14,76818,-27.75,34.5
15,76819,-27.5,34.5
16,76820,-27.25,34.5
17,76821,-27,34.5
18,76822,-26.75,34.5
19,76823,-26.5,34.5
20,76824,-26.25,34.5
21,76825,-26,34.5
22,76826,-25.75,34.5
23,76827,-25.5,34.5
24,76828,-25.25,34.5
25,76829,-25,34.5
26,76830,-24.75,34.5
27,76831,-24.5,34.5
28,76832,-24.25,34.5
29,76833,-24,34.5
30,76834,-23.75,34.5
31,76835,-23.5,34.5
32,76836,-23.25,34.5
33,76837,-23,34.5
34,76838,-22.75,34.5
35,76839,-22.5,34.5
36,76840,-22.25,34.5
37,76841,-22,34.5
38,76842,-21.75,34.5
39,76843,-21.5,34.5
40,76844,-21.25,34.5
41,76845,-21,34.5
42,76846,-20.75,34.5
43,76847,-20.5,34.5
44,76848,-20.25,34.5
45,76849,-20,34.5
46,76850,-19.75,34.5
47,76851,-19.5,34.5
48,76852,-19.25,34.5
49,76853,-19,34.5
50,76854,-18.75,34.5
51,76855,-18.5,34.5
52,76856,-18.25,34.5
53,76857,-18,34.5
54,76858,-17.75,34.5
55,76859,-17.5,34.5
56,76860,-17.25,34.5
57,76861,-17,34.5
58,76862,-16.75,34.5
59,76863,-16.5,34.5
60,76864,-16.25,34.5
61,76865,-16,34.5
62,76866,-15.75,34.5
63,76867,-15.5,34.5
64,76868,-15.25,34.5
65,76869,-15,34.5
66,76870,-14.75,34.5
67,76871,-14.5,34.5
68,76872,-14.25,34.5
69,76873,-14,34.5
70,76874,-13.75,34.5
71,76875,-13.5,34.5
72,76876,-13.25,34.5
73,76877,-13,34.5
74,76878,-12.75,34.5
75,76879,-12.5,34.5
76,76880,-12.25,34.5
77,76881,-12,34.5
78,76882,-11.75,34.5
79,76883,-11.5,34.5
80,76884,-11.25,34.5
81,76885,-11,34.5
82,76886,-10.75,34.5
83,76887,-10.5,34.5
84,76888,-10.25,34.5
85,76889,-10,34.5
86,76890,-9.75,34.5
87,76891,-9.5,34.5
88,76892,-9.25,34.5
89,76893,-9,34.5
90,76894,-8.75,34.5
91,76895,-8.5,34.5
92,76896,-8.25,34.5
93,76897,-8,34.5
94,76898,-7.75,34.5
95,76899,-7.5,34.5
96,76900,-7.25,34.5
97,76901,-7,34.5
98,76902,-6.75,34.5
99,76903,-6.5,34.5
100,76904,-6.25,34.5
101,76905,-6,34.5
