"Class","CLC.Code","On_wind","Off_wind","uPV","rPV_tilt","rPV_flat"
"Continuous urban fabric",111,0,0,0,0.125,0.137
"Discontinuous urban fabric",112,0,0,0,0.125,0.137
"Industrial or commercial units",121,0,0,0,0.125,0.137
"Road and rail networks and associated land",122,0,0,0,0,0
"Port areas",123,0,0,0,0,0
"Airports",124,0,0,0,0,0
"Mineral extraction sites",131,0,0,0,0,0
"Dump sites",132,0,0,0,0,0
"Construction sites",133,0,0,0,0,0
"Green urban areas",141,0,0,0,0,0
"Sport and leisure facilities",142,0,0,0,0,0
"Non-irrigated arable land",211,0.2,0,0.01,0,0
"Permanently irrigated land",212,0,0,0,0,0
"Rice fields",213,0,0,0,0,0
"Vineyards",221,0.1,0,0.01,0,0
"Fruit trees and berry plantations",222,0.1,0,0.01,0,0
"Olive groves",223,0.1,0,0.01,0,0
"Pastures",231,0.2,0,0.01,0,0
"Annual crops associated with permanent crops",241,0.2,0,0.01,0,0
"Complex cultivation patterns",242,0.2,0,0.01,0,0
"Agricultural land with significant natural vegetation",243,0.2,0,0.01,0,0
"Agro-forestry areas",244,0.1,0,0,0,0
"Broad-leaved forest",311,0,0,0,0,0
"Coniferous forest",312,0,0,0,0,0
"Mixed forest",313,0,0,0,0,0
"Natural grasslands",321,0.2,0,0.01,0,0
"Moors and heathland",322,0.1,0,0.01,0,0
"Sclerophyllous vegetation",323,0.1,0,0.01,0,0
"Transitional woodland-shrub",324,0,0,0,0,0
"Beaches, dunes, sands",331,0,0,0,0,0
"Bare rocks",332,0,0,0,0,0
"Sparsely vegetated areas",333,0.5,0,0.05,0,0
"Burnt areas",334,0,0,0,0,0
"Glaciers and perpetual snow",335,0,0,0,0,0
"Inland marshes",411,0,0,0,0,0
"Peat bogs",412,0,0,0,0,0
"Salt marshes",421,0,0,0,0,0
"Salines",422,0,0,0,0,0
"Intertidal flats",423,0,0,0,0,0
"Water courses",511,0,0,0,0,0
"Water bodies",512,0,0,0,0,0
"Coastal lagoons",521,0,0,0,0,0
"Estuaries",522,0,0,0,0,0
"Sea and ocean",523,0,0.3,0,0,0
